Symptom Description,Disease
"increased thirst, weight loss, blurred vision",Diabetes
"itchy eyes, sneezing, rash",Allergy
"headache, nosebleeds, shortness of breath",Hypertension
"sweating, nausea, headache, vomiting, chills, fever",Malaria
"nausea, fever, vomiting, headache, sweating",Malaria
"blurred vision, weight loss, fatigue, frequent urination, increased thirst",Diabetes
"dry cough, fever, difficulty breathing, tiredness, loss of taste, loss of smell",COVID-19
"coughing, fatigue, night sweats",Tuberculosis
"runny nose, itchy eyes, sneezing, rash, congestion",Allergy
"fever, dry cough, tiredness, difficulty breathing",COVID-19
"fatigue, slight fever, shortness of breath, cough",Bronchitis
"sneezing, cough, mild fever, sore throat, congestion",Common Cold
"fatigue, fever, night sweats, coughing",Tuberculosis
"fever, fatigue, chest pain, cough, shortness of breath",Pneumonia
"wheezing, shortness of breath, chest tightness, coughing",Asthma
"fatigue, weight loss, fever, night sweats",Tuberculosis
"headache, vomiting, sensitivity to sound, nausea, sensitivity to light",Migraine
"nosebleeds, dizziness, shortness of breath, headache",Hypertension
"sneezing, runny nose, mild fever, cough, congestion, sore throat",Common Cold
"shortness of breath, wheezing, chest tightness",Asthma
"sweating, vomiting, nausea",Malaria
"loss of taste, loss of smell, difficulty breathing, dry cough, tiredness, fever",COVID-19
"vomiting, headache, sensitivity to light",Migraine
"changes in appetite, persistent sadness, insomnia, fatigue, loss of interest",Depression
"itching, rash, fever",Chickenpox
"fatigue, headache, fever",Flu
"congestion, runny nose, sneezing, itchy eyes",Allergy
"dizziness, shortness of breath, nosebleeds",Hypertension
"fatigue, increased thirst, weight loss, frequent urination",Diabetes
"fever, rash, itching, fatigue",Chickenpox
"nosebleeds, shortness of breath, dizziness",Hypertension
"increased thirst, blurred vision, fatigue, frequent urination, weight loss",Diabetes
"fatigue, blurred vision, frequent urination",Diabetes
"shortness of breath, wheezing, coughing",Asthma
"headache, sensitivity to light, nausea, sensitivity to sound, vomiting",Migraine
"fever, difficulty breathing, dry cough, loss of smell",COVID-19
"coughing, wheezing, chest tightness",Asthma
"rash, itchy eyes, congestion",Allergy
"itchy eyes, rash, runny nose, sneezing",Allergy
"shortness of breath, headache, dizziness, nosebleeds",Hypertension
"blurred vision, frequent urination, fatigue, weight loss",Diabetes
"changes in appetite, fatigue, loss of interest",Depression
"mild fever, runny nose, sneezing, sore throat, cough, congestion",Common Cold
"muscle aches, fatigue, headache, chills, cough",Flu
"fatigue, weight loss, coughing, night sweats",Tuberculosis
"headache, nausea, chills, sweating, vomiting",Malaria
"runny nose, cough, mild fever, sore throat",Common Cold
"shortness of breath, chest tightness, wheezing",Asthma
"nausea, headache, sweating, fever, vomiting",Malaria
"itchy eyes, sneezing, rash, runny nose, congestion",Allergy
"headache, sensitivity to light, sensitivity to sound, nausea, vomiting",Migraine
"dry cough, loss of taste, difficulty breathing",COVID-19
"cough, fever, shortness of breath, chest pain, fatigue",Pneumonia
"shortness of breath, nosebleeds, headache",Hypertension
"fever, cough, muscle aches, chills, fatigue, headache",Flu
"fatigue, changes in appetite, persistent sadness, insomnia, loss of interest",Depression
"fatigue, headache, chills",Flu
"fatigue, increased thirst, blurred vision, weight loss",Diabetes
"sweating, difficulty concentrating, restlessness, increased heart rate, nervousness",Anxiety
"sneezing, congestion, runny nose",Allergy
"fatigue, loss of appetite, fever, rash, itching",Chickenpox
"cough, slight fever, fatigue",Bronchitis
"headache, fever, cough",Flu
"nausea, headache, chills, vomiting, sweating, fever",Malaria
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"nosebleeds, headache, shortness of breath, dizziness",Hypertension
"nausea, sensitivity to sound, sensitivity to light, headache, vomiting",Migraine
"mild fever, cough, runny nose",Common Cold
"mild fever, runny nose, sneezing, cough, congestion, sore throat",Common Cold
"chills, nausea, fever, vomiting, sweating, headache",Malaria
"fatigue, shortness of breath, cough, fever, chest pain",Pneumonia
"fatigue, night sweats, fever, weight loss, coughing",Tuberculosis
"sore throat, runny nose, sneezing, mild fever, congestion",Common Cold
"sore throat, runny nose, cough, sneezing",Common Cold
"slight fever, cough, fatigue",Bronchitis
"loss of taste, fever, loss of smell, tiredness, difficulty breathing",COVID-19
"loss of taste, dry cough, tiredness, fever, loss of smell, difficulty breathing",COVID-19
"sensitivity to light, nausea, sensitivity to sound, headache, vomiting",Migraine
"insomnia, changes in appetite, fatigue",Depression
"itchy eyes, sneezing, rash",Allergy
"slight fever, cough, shortness of breath",Bronchitis
"loss of taste, dry cough, difficulty breathing, loss of smell, fever",COVID-19
"persistent sadness, fatigue, changes in appetite, insomnia, loss of interest",Depression
"chills, fever, cough, headache, muscle aches, fatigue",Flu
"loss of appetite, itching, rash, fatigue",Chickenpox
"cough, slight fever, fatigue",Bronchitis
"fatigue, rash, itching, fever, loss of appetite",Chickenpox
"night sweats, fever, coughing, weight loss",Tuberculosis
"nosebleeds, headache, shortness of breath, dizziness",Hypertension
"difficulty breathing, tiredness, loss of taste, dry cough",COVID-19
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"congestion, runny nose, sore throat, cough",Common Cold
"sneezing, itchy eyes, congestion, rash",Allergy
"dry cough, loss of smell, fever, loss of taste",COVID-19
"dizziness, nosebleeds, shortness of breath",Hypertension
"vomiting, headache, sweating, chills, nausea",Malaria
"wheezing, coughing, chest tightness, shortness of breath",Asthma
"weight loss, increased thirst, fatigue, blurred vision, frequent urination",Diabetes
"vomiting, sensitivity to light, sensitivity to sound",Migraine
"cough, muscle aches, headache, chills, fatigue, fever",Flu
"sweating, nausea, vomiting, headache, fever, chills",Malaria
"nosebleeds, dizziness, shortness of breath",Hypertension
"difficulty concentrating, restlessness, nervousness",Anxiety
"fever, tiredness, difficulty breathing, dry cough, loss of smell, loss of taste",COVID-19
"chest tightness, shortness of breath, coughing",Asthma
"tiredness, loss of taste, dry cough, difficulty breathing, loss of smell, fever",COVID-19
"difficulty breathing, tiredness, loss of smell, loss of taste",COVID-19
"vomiting, chills, nausea, sweating, fever",Malaria
"itching, rash, loss of appetite",Chickenpox
